Date,Open,High,Low,Close,Volume
1984-09-10,0.41761,0.41887,0.40755,0.41511,18293106
1984-09-11,0.41887,0.43023,0.41887,0.42268,43136231
1984-09-12,0.42268,0.42519,0.41003,0.41003,37683176
1984-09-13,0.43278,0.434,0.43278,0.43278,58690154
1984-09-14,0.434,0.44915,0.434,0.43907,69881594
1984-09-17,0.45041,0.45672,0.45041,0.45041,54562298
1984-09-18,0.45041,0.45422,0.434,0.434,27544296
1984-09-19,0.434,0.43907,0.42519,0.42519,30086941
1984-09-20,0.42645,0.43023,0.42645,0.42645,18730632
1984-09-21,0.42645,0.43907,0.41761,0.42268,28260788
1984-09-24,0.42268,0.42519,0.41887,0.41887,22363895
1984-09-25,0.41761,0.41761,0.41003,0.41003,47213357
1984-09-26,0.41003,0.42895,0.40503,0.40503,31412167
1984-09-27,0.40503,0.40755,0.40503,0.40503,29985490
1984-09-28,0.40503,0.40503,0.38735,0.39488,66070790
1984-10-01,0.39365,0.39365,0.38606,0.38606,27677448
1984-10-02,0.38859,0.40249,0.38859,0.38859,33472901
1984-10-03,0.39488,0.40122,0.39488,0.39488,34087970
1984-10-04,0.39992,0.40249,0.39992,0.39992,35520980
1984-10-05,0.39992,0.39992,0.38859,0.39112,27620388
1984-10-08,0.39112,0.39365,0.39112,0.39112,13296593
1984-10-09,0.39112,0.39365,0.38735,0.38735,35457568
1984-10-10,0.38735,0.38735,0.376,0.376,103278414
1984-10-11,0.376,0.38606,0.37346,0.37346,51734321
1984-10-12,0.37346,0.376,0.35452,0.35704,75239549
1984-10-15,0.37723,0.38102,0.37723,0.37723,68860731
1984-10-16,0.37723,0.37851,0.376,0.376,33409510
1984-10-17,0.39112,0.39365,0.39112,0.39112,44340993
1984-10-18,0.40249,0.40503,0.40249,0.40249,69964024
1984-10-19,0.40249,0.43023,0.40122,0.40249,92315238
1984-10-22,0.40249,0.40877,0.39992,0.39992,32483758
1984-10-23,0.40877,0.41255,0.40877,0.40877,52774214
1984-10-24,0.41255,0.41761,0.41255,0.41255,47276766
1984-10-25,0.41255,0.41255,0.39742,0.39742,44772169
1984-10-26,0.39742,0.39742,0.38606,0.38735,32509110
1984-10-29,0.38859,0.39112,0.38859,0.38859,14336478
1984-10-30,0.39365,0.39742,0.39365,0.39365,21114758
1984-10-31,0.39365,0.39742,0.39112,0.39112,17050326
1984-11-01,0.39365,0.39742,0.39365,0.39365,13315607
1984-11-02,0.39365,0.39488,0.38859,0.39112,7837188
1984-11-05,0.39112,0.39992,0.38859,0.38859,29826972
1984-11-06,0.41255,0.41511,0.41255,0.41255,63781783
1984-11-07,0.41255,0.41511,0.40503,0.40503,65544511
1984-11-08,0.40503,0.40503,0.38859,0.38859,24944576
1984-11-09,0.38859,0.39112,0.36211,0.36588,83260624
1984-11-12,0.37851,0.38102,0.37851,0.37851,32058919
1984-11-13,0.37851,0.38735,0.36967,0.36967,35857046
1984-11-14,0.37346,0.37723,0.37346,0.37346,29535281
1984-11-15,0.37346,0.37723,0.37346,0.37346,30175704
1984-11-16,0.37346,0.37851,0.36337,0.36588,46921686
1984-11-19,0.36588,0.3684,0.34445,0.34445,65950314
1984-11-20,0.35578,0.35704,0.35578,0.35578,74516692
1984-11-21,0.36337,0.36588,0.36337,0.36337,50592979
1984-11-23,0.3684,0.37851,0.3684,0.37346,38805485
1984-11-26,0.37723,0.37723,0.37723,0.37723,28489075
1984-11-27,0.38735,0.39112,0.38735,0.38735,36066281
1984-11-28,0.40755,0.41761,0.40755,0.40755,116207255
1984-11-29,0.40755,0.40755,0.39992,0.39992,49502381
1984-11-30,0.39992,0.40249,0.38735,0.38859,30771751
1984-12-03,0.38859,0.39112,0.38356,0.38356,27740857
1984-12-04,0.39112,0.39992,0.39112,0.39112,34075282
1984-12-05,0.41003,0.41003,0.41003,0.41003,74421593
1984-12-06,0.43023,0.43278,0.43023,0.43023,89810639
1984-12-07,0.43023,0.44665,0.42645,0.42895,139985111
1984-12-10,0.42895,0.42895,0.42015,0.42015,31557994
1984-12-11,0.42015,0.42645,0.41511,0.41511,35039076
1984-12-12,0.41511,0.41511,0.40122,0.40122,31158540
1984-12-13,0.40503,0.41255,0.40503,0.40503,18920844
1984-12-14,0.40503,0.41887,0.40503,0.41511,27214578
1984-12-17,0.42519,0.42895,0.42519,0.42519,35451238
1984-12-18,0.45041,0.45167,0.45041,0.45041,96405019
1984-12-19,0.45041,0.45167,0.43278,0.43278,89874042
1984-12-20,0.43278,0.44033,0.43023,0.43023,39585411
1984-12-21,0.43023,0.43278,0.42015,0.42519,35070783
1984-12-24,0.43278,0.434,0.43278,0.43278,19117418
1984-12-26,0.434,0.43907,0.434,0.434,19015969
1984-12-27,0.43653,0.43907,0.43653,0.43653,27956441
1984-12-28,0.43653,0.45422,0.434,0.45167,46801200
1984-12-31,0.45799,0.4605,0.45799,0.45799,58810615
1985-01-02,0.45799,0.45799,0.43907,0.43907,49622834
1985-01-03,0.44665,0.45799,0.44665,0.44665,47162615
1985-01-04,0.44665,0.44915,0.44033,0.44665,38856215
1985-01-07,0.44665,0.44915,0.44415,0.44415,48380063
1985-01-08,0.44415,0.44915,0.44033,0.44033,39946821
1985-01-09,0.45167,0.45799,0.45167,0.45167,47194342
1985-01-10,0.4719,0.47316,0.4719,0.4719,78428956
1985-01-11,0.4719,0.47577,0.46302,0.46809,58043388
1985-01-14,0.48069,0.48569,0.48069,0.48069,76552071
1985-01-15,0.48069,0.4895,0.4719,0.4719,75004935
1985-01-16,0.47577,0.4833,0.47577,0.47577,53750686
1985-01-17,0.47577,0.4833,0.44159,0.44159,154987361
1985-01-18,0.44159,0.4605,0.44033,0.45041,99829047
1985-01-21,0.4605,0.46302,0.4605,0.4605,92118670
1985-01-22,0.47316,0.47577,0.47316,0.47316,120259004
1985-01-23,0.47316,0.47577,0.46552,0.46552,121863226
1985-01-24,0.46552,0.46552,0.45672,0.45672,112396430
1985-01-25,0.45672,0.46552,0.44665,0.46552,90146693
1985-01-28,0.47577,0.48069,0.47577,0.47577,116676452
1985-01-29,0.47577,0.47951,0.47056,0.47056,63331595
1985-01-30,0.47056,0.47951,0.47056,0.47056,139395438
1985-01-31,0.47056,0.4719,0.45672,0.45672,78194351
1985-02-01,0.45672,0.45799,0.44665,0.45041,38989382
1985-02-04,0.4605,0.46179,0.4605,0.4605,61714677
1985-02-05,0.46302,0.4719,0.46302,0.46302,53795068
1985-02-06,0.4719,0.4719,0.4719,0.4719,55037850
1985-02-07,0.4719,0.47817,0.47056,0.47056,69488467
1985-02-08,0.47056,0.4719,0.46302,0.47056,37372479
1985-02-11,0.47951,0.4833,0.47951,0.47951,98212138
1985-02-12,0.47951,0.48069,0.46809,0.46809,64117843
1985-02-13,0.46809,0.46809,0.44665,0.44665,149185568
1985-02-14,0.44665,0.45041,0.434,0.434,120823308
